mode	real_sec	maximum_resident_set_size	peak_memory_footprint	cb2_sha256	cbstats_sha256	epistasis_beta_N	epistasis_beta_S	epistasis_clip_N	epistasis_clip_S	active_branches_N	active_branches_S
baseline_no_epi	7.18	2629861376.0	940073536.0	f5285d749e924c3d3255a0567c1061e172ef1f830fdb1bf1a570f5ffac5219dd	65011846dc46b74d0c9fd560d03e40a4385399dc61e173a9e2b751d89fda04a1						
epi_N_auto	8.71	3337551872.0	935649920.0	2f7ec5a64f176823ed6d24e45a42c663a9a63867093f1e32894b1cd0e0ad14af	3999e1eec8a7362cccf6933a909fb8e0b57563ada16e81a47c62868b465e45ea	0.91		1.5		138.0	
epi_S_auto	8.99	3318726656.0	938074816.0	7f98bfd530e054076aaced1c30939e57a6371086f35e7d251f16f83f0ece3460	965cc9598a9f2e57e6b90f9f42b0689fc9ca3c2990fd8ba74def99e9fc1e306d		0.86		1.5		138.0
epi_NS_auto	9.77	3290136576.0	935502592.0	b343250291a5fbdb1577fde9a3adf56e500f29d3c7fa82e1e7a245daea05236b	617d88442376271aa3e80839c67b0bb7fec3adba021c02dce5cbe4c38fdf9790	0.91	0.86	1.5	1.5	138.0	138.0
