output_stat	min_sub_pp	real_sec	maxrss_bytes	peak_mem_bytes	run_dir	stdout_log	stderr_log
any2any	0.0	3.25	256954368	214825600	/private/tmp/csubst_issue46_empirical_20260910/any2any_min_sub_pp_0	/private/tmp/csubst_issue46_empirical_20260910/any2any_min_sub_pp_0/analyze.stdout.log	/private/tmp/csubst_issue46_empirical_20260910/any2any_min_sub_pp_0/analyze.stderr.log
any2any	0.05	3.17	258600960	216468096	/private/tmp/csubst_issue46_empirical_20260910/any2any_min_sub_pp_0_05	/private/tmp/csubst_issue46_empirical_20260910/any2any_min_sub_pp_0_05/analyze.stdout.log	/private/tmp/csubst_issue46_empirical_20260910/any2any_min_sub_pp_0_05/analyze.stderr.log
any2spe	0.0	3.97	267534336	225479440	/private/tmp/csubst_issue46_empirical_20260910/any2spe_min_sub_pp_0	/private/tmp/csubst_issue46_empirical_20260910/any2spe_min_sub_pp_0/analyze.stdout.log	/private/tmp/csubst_issue46_empirical_20260910/any2spe_min_sub_pp_0/analyze.stderr.log
any2spe	0.05	3.8	265785344	223685296	/private/tmp/csubst_issue46_empirical_20260910/any2spe_min_sub_pp_0_05	/private/tmp/csubst_issue46_empirical_20260910/any2spe_min_sub_pp_0_05/analyze.stdout.log	/private/tmp/csubst_issue46_empirical_20260910/any2spe_min_sub_pp_0_05/analyze.stderr.log
