pair	column	n_points	pearson_log10	median_abs_log10_diff
alpha=0.5 vs 0.0	omegaCany2any	11219	0.9969218593027935	0.36469907553335834
alpha=0.5 vs 0.0	omegaCany2dif	9597	0.9824620538193719	0.3287014222618396
alpha=0.5 vs 0.0	omegaCany2spe	9151	0.9939107310883956	0.16749108729376339
alpha=1.0 vs 0.0	omegaCany2any	11058	0.9955226513701035	0.5509074688805811
alpha=1.0 vs 0.0	omegaCany2dif	9487	0.9797300171293034	0.5139867664158835
alpha=1.0 vs 0.0	omegaCany2spe	9115	0.9938047345965524	0.21692751302708646
