scenario,foregrounds,regime,filtered,method,replicates,false_any,false_any_low,false_any_high,mean_fdp,sensitivity,endpoint_sensitivity,jump_sensitivity,signal,endpoints,jumps
uncertain,2,heterogeneous,True,learned,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.016666666666666666,0.10810810810810811,0.058823529411764705,300,37,68
uncertain,2,heterogeneous,True,poisson,100,0.05,0.01643187918172828,0.11283491110546288,0.05,0.016666666666666666,0.10810810810810811,0.058823529411764705,300,37,68
uncertain,2,moderate,False,fixed,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.06333333333333334,0.20454545454545456,0.14074074074074075,300,88,135
uncertain,2,moderate,False,learned,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.06333333333333334,0.20454545454545456,0.14074074074074075,300,88,135
uncertain,2,moderate,False,poisson,100,0.06,0.02233488607131637,0.12602993458082287,0.055,0.08,0.26136363636363635,0.17777777777777778,300,88,135
uncertain,2,moderate,True,fixed,100,0.01,0.0002531460326818928,0.054459385392080666,0.01,0.06,0.19318181818181818,0.13333333333333333,300,88,135
uncertain,2,moderate,True,learned,100,0.01,0.0002531460326818928,0.054459385392080666,0.01,0.06,0.19318181818181818,0.13333333333333333,300,88,135
uncertain,2,moderate,True,poisson,100,0.06,0.02233488607131637,0.12602993458082287,0.055,0.08,0.23863636363636365,0.17037037037037037,300,88,135
uncertain,2,null,False,fixed,100,0.03,0.006229971538306229,0.08517605297428028,0.03,0.0,0.0,0.0,0,0,0
uncertain,2,null,False,learned,100,0.03,0.006229971538306229,0.08517605297428028,0.03,0.0,0.0,0.0,0,0,0
uncertain,2,null,False,poisson,100,0.05,0.01643187918172828,0.11283491110546288,0.05,0.0,0.0,0.0,0,0,0
uncertain,2,null,True,fixed,100,0.01,0.0002531460326818928,0.054459385392080666,0.01,0.0,0.0,0.0,0,0,0
uncertain,2,null,True,learned,100,0.01,0.0002531460326818928,0.054459385392080666,0.01,0.0,0.0,0.0,0,0,0
uncertain,2,null,True,poisson,100,0.05,0.01643187918172828,0.11283491110546288,0.05,0.0,0.0,0.0,0,0,0
uncertain,4,heterogeneous,False,fixed,100,0.03,0.006229971538306229,0.08517605297428028,0.018333333333333333,0.02,0.045454545454545456,0.031914893617021274,300,132,188
uncertain,4,heterogeneous,False,learned,100,0.01,0.0002531460326818928,0.054459385392080666,0.01,0.016666666666666666,0.03787878787878788,0.026595744680851064,300,132,188
uncertain,4,heterogeneous,False,poisson,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.01,0.022727272727272728,0.015957446808510637,300,132,188
uncertain,4,heterogeneous,True,fixed,100,0.01,0.0002531460326818928,0.054459385392080666,0.003333333333333333,0.016666666666666666,0.03787878787878788,0.026595744680851064,300,132,188
uncertain,4,heterogeneous,True,learned,100,0.0,0.0,0.03621669264519054,0.0,0.016666666666666666,0.03787878787878788,0.026595744680851064,300,132,188
uncertain,4,heterogeneous,True,poisson,100,0.02,0.0024313368239247935,0.07038393247107005,0.02,0.01,0.022727272727272728,0.015957446808510637,300,132,188
uncertain,4,moderate,False,fixed,100,0.05,0.01643187918172828,0.11283491110546288,0.05,0.043333333333333335,0.07894736842105263,0.06341463414634146,300,152,205
uncertain,4,moderate,False,learned,100,0.05,0.01643187918172828,0.11283491110546288,0.05,0.043333333333333335,0.07894736842105263,0.06341463414634146,300,152,205
uncertain,4,moderate,False,poisson,100,0.05,0.01643187918172828,0.11283491110546288,0.05,0.006666666666666667,0.013157894736842105,0.00975609756097561,300,152,205
uncertain,4,moderate,True,fixed,100,0.01,0.0002531460326818928,0.054459385392080666,0.01,0.04,0.07236842105263158,0.05853658536585366,300,152,205
uncertain,4,moderate,True,learned,100,0.01,0.0002531460326818928,0.054459385392080666,0.01,0.04,0.07236842105263158,0.05853658536585366,300,152,205
uncertain,4,moderate,True,poisson,100,0.05,0.01643187918172828,0.11283491110546288,0.05,0.006666666666666667,0.013157894736842105,0.00975609756097561,300,152,205
uncertain,4,null,False,fixed,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,0,0,0
uncertain,4,null,False,learned,100,0.0,0.0,0.03621669264519054,0.0,0.0,0.0,0.0,0,0,0
