mode	n	failed	real_sec_median	real_sec_mean	real_sec_sd	peak_mib_median	peak_mib_mean	peak_mib_sd	runtime_vs_none	peakram_vs_none
empirical	3	0	2.31	2.3033333333333332	0.03055050463303918	313.41064453125	313.6502278645833	0.5702734840233256	1.0043478260869567	1.0015977048913645
none	3	0	2.3	2.32	0.06244997998398406	312.91070556640625	314.311767578125	4.442323525805283	1.0	1.0
symmetric	3	0	2.32	2.313333333333333	0.011547005383792686	313.66082763671875	314.43678792317706	1.4260708466891159	1.008695652173913	1.0023972400335575
