comparison	n_total	n_finite_omega	n_nonfinite_omega	n_positive_for_log10	pearson_r_finite	pearson_r_log10_positive	max_abs_delta_finite	mean_abs_delta_finite	n_rel_gt_1pct_finite	pct_rel_gt_1pct_finite	n_rel_gt_5pct_finite	pct_rel_gt_5pct_finite	n_ocn_gt1_finite	n_ocn_gt1_rel_gt_1pct	pct_ocn_gt1_rel_gt_1pct	n_ocn_gt1_rel_gt_5pct	pct_ocn_gt1_rel_gt_5pct
no vs tip_invariant (sparse fixed)	8308	8304	4	7641	0.9999989535849961	0.9999858428678282	1354.153100000054	0.4579721700385437	1942	23.386319845857418	45	0.541907514450867	1137	350	30.782761653474054	1	0.08795074758135445
no vs zero_sub_mass (sparse fixed)	8308	8304	4	7641	0.9999997112565204	0.9999935600715076	698.3263000000152	0.20176459537572455	505	6.081406551059731	28	0.3371868978805395	1137	93	8.179419525065963	1	0.08795074758135445
