setting	output_stat	kind	n	frac_p_le_0_05	mean_p	median_p
new(auto-guard)	any2any	calib	968	0.0444214876033057	0.9189548553719008	1.0
old(min_sub_pp=0)	any2any	calib	1582	0.4260429835651074	0.4727928571428571	0.1549499999999999
new(auto-guard)	any2any	nocalib	1613	0.0260384376937383	0.951300495970242	1.0
old(min_sub_pp=0)	any2any	nocalib	1620	0.4160493827160494	0.4853237037037037	0.19255
new(auto-guard)	any2spe	calib	722	0.0249307479224376	0.9739364265927978	1.0
old(min_sub_pp=0)	any2spe	calib	1522	0.347568988173456	0.6527659658344284	1.0
new(auto-guard)	any2spe	nocalib	1618	0.0111248454882571	0.9883687886279356	1.0
old(min_sub_pp=0)	any2spe	nocalib	1620	0.3265432098765432	0.6737662345679012	1.0
