branch_id_1	branch_id_2	branch_id_3	branch_id_4	OCNany2spe	ECNany2spe	OCSany2spe	ECSany2spe	omegaCany2spe
1	26	33	35	2.8145204044439187	0.0006000244579722363	2.9254165200000013e-12	0.006283259509385709	inf
1	26	33	40	2.9036074960279077	0.0002547673473333419	5.188371795200001e-10	0.00214743748180085	inf
1	26	33	102	2.5756072061903925	0.00019485626161017044	6.967293711410698e-07	0.0028305951770046596	53700571.63752264
1	26	35	40	2.8983418645965093	0.00046274415703482033	4.3171682224e-10	0.0018798812397639764	inf
1	26	35	102	2.570855154056837	0.00033561755900373845	1.4711244543551261e-10	0.002758574465905423	inf
1	26	35	124	2.2752678074224266	0.0003937792960041276	1.1064272853205907e-09	0.0021783576740355727	11375904998.888916
1	26	40	102	2.648325741499388	0.0001483746380931956	7.257065752329729e-11	0.0008830069372390907	inf
1	33	35	40	2.816943221035105	0.0002892684404926591	8.634164573500001e-10	0.0014013862760720599	inf
1	33	35	102	2.5031019569097634	0.00021936751574714848	4.901125003819361e-08	0.0024121047959825017	561573512.5757089
1	33	40	102	2.577553012880092	0.00013257520038488038	8.556217152361508e-06	0.0010076410824490826	2289651.4825329646
1	35	40	102	2.5727397657577606	0.00017442930103084785	2.9614802083591455e-08	0.0007259844182520356	361572076.8054208
25	26	35	89	2.306969885363657	0.001701050189572475	0.0009473405993215459	0.030277500718589413	43344.96643038913
25	35	89	108	2.8446661740516355	0.0014000574687966308	0.014841553733085358	0.029781537758015536	4077.117199586682
26	33	35	40	4.764647390129209	0.0005533841712013141	5.0795398e-13	0.003909714580367968	inf
26	33	35	102	2.502408202740303	0.0005204314235933699	0.00022642949563702372	0.0057219709344401605	121508.6768941572
26	33	40	102	2.5767696747075934	0.0001848072337996965	5.954976273361937e-09	0.0018813659173858622	4405040147.1282625
26	35	40	102	2.572017180789242	0.00031759733478228526	2.6365330363300004e-14	0.0017947372601535407	inf
26	35	40	124	2.414745387159591	0.0003468493948914589	7.399969741279588e-10	0.0012226492664557018	inf
26	35	89	103	2.002871945584576	0.0007944533675488752	2.8881122620889998e-08	0.012290439096965677	1072847767.3773526
33	35	40	102	2.5042181322306214	0.00020537643777789413	1.9463375508092984e-09	0.0014614740516404863	9155761819.451847
